iter	Passed	Remaining
290	668	1627
291	670	1625
292	672	1623
293	675	1622
294	678	1621
295	681	1620
296	683	1617
297	685	1614
298	687	1612
299	689	1609
300	692	1607
301	694	1604
302	696	1601
303	698	1599
304	700	1596
305	703	1594
306	705	1591
307	707	1588
308	709	1586
309	711	1584
310	713	1581
311	716	1579
312	718	1577
313	720	1574
314	722	1571
315	724	1568
316	726	1565
317	728	1562
318	730	1560
319	733	1558
320	735	1555
321	737	1552
322	739	1550
323	742	1548
324	744	1545
325	746	1543
326	748	1540
327	750	1538
328	753	1536
329	755	1533
330	757	1530
331	759	1528
332	761	1525
333	763	1523
334	765	1520
335	768	1518
336	770	1515
337	772	1513
338	775	1511
339	777	1508
340	779	1506
341	781	1504
342	783	1501
343	786	1498
344	788	1496
345	790	1493
346	792	1491
347	794	1488
348	796	1486
349	798	1483
350	801	1481
351	803	1478
352	805	1476
353	808	1475
354	811	1474
355	814	1473
356	817	1472
357	819	1469
358	821	1467
359	823	1464
360	826	1462
361	828	1460
362	830	1457
363	832	1454
364	834	1452
365	837	1450
366	839	1447
367	841	1445
368	843	1442
369	845	1440
370	848	1437
371	850	1435
372	852	1432
373	854	1430
374	856	1427
375	858	1424
376	860	1422
377	862	1419
378	864	1417
379	867	1414
380	869	1412
381	871	1410
382	874	1408
383	876	1405
384	878	1403
385	880	1400
386	882	1397
387	884	1395
388	886	1392
389	888	1390
390	891	1387
391	893	1385
392	895	1383
393	897	1380
394	899	1378
395	901	1375
396	904	1373
397	906	1371
398	908	1368
399	910	1366
400	913	1363
401	915	1361
402	917	1358
403	919	1356
404	921	1353
405	923	1351
406	925	1348
407	927	1346
408	930	1343
409	932	1341
410	934	1339
411	936	1336
412	939	1334
413	941	1332
414	943	1329
415	946	1328
416	949	1327
417	953	1326
418	955	1324
419	957	1322
420	959	1319
421	961	1317
422	964	1315
423	966	1312
424	968	1310
425	971	1308
426	973	1306
427	975	1303
428	977	1301
429	979	1298
430	981	1296
431	984	1293
432	986	1291
433	988	1289
434	990	1286
435	992	1284
436	995	1281
437	997	1279
438	999	1276
439	1001	1274
440	1003	1272
441	1005	1269
442	1008	1267
443	1010	1264
444	1012	1262
445	1014	1259
446	1016	1257
447	1018	1254
448	1020	1252
449	1022	1250
450	1025	1247
451	1027	1245
452	1029	1242
453	1031	1240
454	1033	1238
455	1036	1235
456	1038	1233
457	1040	1231
458	1042	1228
459	1044	1226
460	1046	1223
461	1049	1221
462	1051	1219
463	1053	1216
464	1055	1214
465	1057	1211
466	1059	1209
467	1062	1207
468	1064	1205
469	1066	1203
470	1069	1200
471	1071	1198
472	1073	1196
473	1075	1193
474	1077	1191
475	1079	1188
476	1082	1187
477	1085	1185
478	1088	1183
479	1090	1181
480	1093	1179
481	1095	1177
482	1097	1175
483	1100	1172
484	1102	1170
485	1104	1168
486	1106	1165
487	1108	1163
488	1111	1161
489	1113	1158
490	1115	1156
491	1117	1153
492	1119	1151
493	1121	1149
494	1123	1146
495	1126	1144
496	1128	1142
497	1130	1139
498	1132	1137
499	1134	1134
500	1137	1132
501	1139	1130
502	1141	1127
503	1143	1125
504	1145	1123
505	1147	1120
506	1149	1118
507	1151	1115
508	1153	1113
509	1156	1110
510	1158	1108
511	1160	1106
512	1163	1104
513	1165	1102
514	1167	1099
515	1169	1097
516	1171	1094
517	1173	1091
518	1175	1089
519	1177	1086
520	1179	1084
521	1181	1082
522	1183	1079
523	1185	1077
524	1188	1075
525	1190	1072
526	1192	1070
527	1194	1068
528	1197	1066
529	1199	1063
530	1201	1061
531	1203	1059
532	1206	1056
533	1208	1054
534	1210	1051
535	1212	1049
536	1214	1047
537	1216	1045
538	1232	1053
539	1236	1053
540	1241	1053
541	1246	1053
542	1251	1052
543	1253	1050
544	1255	1048
545	1258	1046
546	1263	1046
547	1267	1045
548	1270	1043
549	1272	1041
550	1274	1038
551	1277	1036
552	1279	1034
553	1281	1031
554	1283	1029
555	1285	1026
556	1288	1024
557	1290	1022
558	1292	1019
559	1294	1017
560	1297	1015
561	1299	1012
562	1301	1010
563	1303	1007
564	1305	1005
565	1307	1002
566	1309	1000
567	1312	997
568	1314	995
569	1316	993
570	1318	990
571	1320	988
572	1322	985
573	1324	983
574	1326	980
575	1329	978
576	1331	975
577	1333	973
578	1335	971
579	1337	968
580	1339	966
581	1341	963
582	1343	961
583	1346	958
584	1348	956
585	1350	954
586	1352	951
587	1355	949
588	1357	947
589	1359	944
590	1361	942
591	1363	939
592	1366	937
593	1368	935
594	1371	933
595	1374	931
596	1377	929
597	1379	927
598	1381	924
599	1383	922
600	1386	920
601	1388	917
602	1390	915
603	1392	913
604	1395	910
605	1397	908
606	1399	906
607	1401	903
608	1403	901
609	1406	898
610	1408	896
611	1410	894
612	1412	891
613	1414	889
614	1417	887
615	1419	884
616	1421	882
617	1423	880
618	1425	877
619	1427	875
620	1430	872
621	1432	870
622	1434	868
623	1436	865
624	1438	863
625	1441	860
626	1443	858
627	1445	856
628	1447	853
629	1449	851
630	1452	849
631	1454	846
632	1456	844
633	1458	842
634	1460	839
635	1462	837
636	1464	834
637	1466	832
638	1468	829
639	1471	827
640	1473	825
641	1475	822
642	1477	820
643	1479	818
644	1482	815
645	1484	813
646	1486	811
647	1489	809
648	1491	806
649	1493	804
650	1496	802
651	1498	799
652	1500	797
653	1502	794
654	1505	792
655	1508	790
656	1511	788
657	1513	786
658	1516	784
659	1518	782
660	1520	779
661	1522	777
662	1524	774
663	1526	772
664	1529	770
665	1531	767
666	1533	765
667	1535	763
668	1537	760
669	1539	758
670	1541	755
671	1543	753
672	1546	751
673	1548	749
674	1551	747
675	1553	744
676	1556	742
677	1558	739
678	1560	737
679	1562	735
680	1564	732
681	1566	730
682	1568	728
683	1570	725
684	1572	723
685	1575	720
686	1577	718
687	1579	716
688	1582	714
689	1585	712
690	1587	709
691	1589	707
692	1591	705
693	1593	702
694	1596	700
695	1598	698
696	1600	695
697	1602	693
698	1604	690
699	1606	688
700	1608	686
701	1610	683
702	1612	681
703	1615	679
704	1617	676
705	1619	674
706	1621	671
707	1623	669
708	1625	667
709	1627	664
710	1629	662
711	1631	660
712	1633	657
713	1635	655
714	1638	652
715	1640	650
716	1642	648
717	1644	646
718	1647	643
719	1649	641
720	1651	639
721	1653	636
722	1655	634
723	1657	631
724	1659	629
725	1661	627
726	1663	624
727	1666	622
728	1668	620
729	1670	617
730	1672	615
731	1675	613
732	1678	611
733	1680	609
734	1683	606
735	1685	604
736	1687	602
737	1690	600
738	1692	597
739	1694	595
740	1696	592
741	1698	590
742	1701	588
743	1704	586
744	1707	584
745	1709	582
746	1712	579
747	1714	577
748	1716	575
749	1718	572
750	1720	570
751	1723	568
752	1725	565
753	1727	563
754	1729	561
755	1731	558
756	1733	556
757	1735	554
758	1738	551
759	1740	549
760	1742	547
761	1745	545
762	1747	542
763	1750	540
764	1752	538
765	1754	536
766	1756	533
767	1759	531
768	1761	529
769	1763	526
770	1765	524
771	1767	522
772	1769	519
773	1772	517
774	1774	515
775	1776	512
776	1778	510
777	1781	508
778	1783	505
779	1785	503
780	1787	501
781	1789	498
782	1791	496
783	1793	494
784	1795	491
785	1798	489
786	1800	487
787	1802	484
788	1804	482
789	1806	480
790	1809	478
791	1811	475
792	1813	473
793	1815	471
794	1817	468
795	1820	466
796	1822	464
797	1824	461
798	1826	459
799	1828	457
800	1831	454
801	1833	452
802	1836	450
803	1839	448
804	1842	446
805	1844	444
806	1847	441
807	1849	439
808	1851	437
809	1853	434
810	1856	432
811	1858	430
812	1860	428
813	1863	425
814	1865	423
815	1868	421
816	1870	418
817	1872	416
818	1874	414
819	1876	412
820	1879	409
821	1881	407
822	1883	405
823	1885	402
824	1887	400
825	1890	398
826	1892	395
827	1894	393
828	1896	391
829	1898	388
830	1901	386
831	1903	384
832	1905	382
833	1907	379
834	1909	377
835	1911	375
836	1913	372
837	1916	370
838	1918	368
839	1920	365
840	1922	363
841	1924	361
842	1927	358
843	1929	356
844	1931	354
845	1933	351
846	1935	349
847	1937	347
848	1940	345
849	1942	342
850	1944	340
851	1946	338
852	1948	335
853	1950	333
854	1953	331
855	1955	328
856	1957	326
857	1959	324
858	1961	322
859	1964	319
860	1966	317
861	1968	315
862	1971	312
863	1974	310
864	1978	308
865	1980	306
866	1982	304
867	1985	301
868	1987	299
869	1989	297
870	1991	294
871	1993	292
872	1996	290
873	1998	288
874	2000	285
875	2002	283
876	2005	281
877	2007	278
878	2009	276
879	2011	274
880	2013	271
881	2015	269
882	2017	267
883	2019	265
884	2022	262
885	2024	260
886	2026	258
887	2028	255
888	2031	253
889	2033	251
890	2035	249
891	2037	246
892	2039	244
893	2042	242
894	2044	239
895	2046	237
896	2048	235
897	2050	232
898	2052	230
899	2054	228
900	2056	226
901	2059	223
902	2061	221
903	2063	219
904	2066	216
905	2068	214
906	2070	212
907	2072	209
908	2074	207
909	2076	205
910	2078	203
911	2081	200
912	2083	198
913	2085	196
914	2087	193
915	2089	191
916	2091	189
917	2093	187
918	2096	184
919	2098	182
920	2100	180
921	2102	177
922	2104	175
923	2108	173
924	2111	171
925	2114	168
926	2116	166
927	2119	164
928	2121	162
929	2123	159
930	2125	157
931	2127	155
932	2130	152
933	2132	150
934	2134	148
935	2136	146
936	2138	143
937	2140	141
938	2142	139
939	2145	136
940	2147	134
941	2149	132
942	2151	130
943	2153	127
944	2155	125
945	2158	123
946	2160	120
947	2162	118
948	2165	116
949	2167	114
950	2169	111
951	2171	109
952	2173	107
953	2175	104
954	2178	102
955	2180	100
956	2182	98
957	2184	95
958	2187	93
959	2189	91
960	2191	88
961	2194	86
962	2196	84
963	2198	82
964	2200	79
965	2202	77
966	2204	75
967	2206	72
968	2208	70
969	2211	68
970	2213	66
971	2215	63
972	2217	61
973	2219	59
974	2222	56
975	2224	54
976	2226	52
977	2228	50
978	2231	47
979	2233	45
980	2236	43
981	2238	41
982	2241	38
983	2243	36
984	2246	34
985	2248	31
986	2250	29
987	2252	27
988	2255	25
989	2257	22
990	2260	20
991	2262	18
992	2265	15
993	2267	13
994	2269	11
995	2271	9
996	2274	6
997	2276	4
998	2278	2
999	2280	0
